id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemilik_rutilahu,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,180673,KELUARGA RUMAH TANGGA SASARAN,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,255109,KELUARGA RUMAH TANGGA SASARAN,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,193566,KELUARGA RUMAH TANGGA SASARAN,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,158714,KELUARGA RUMAH TANGGA SASARAN,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,235898,KELUARGA RUMAH TANGGA SASARAN,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,138758,KELUARGA RUMAH TANGGA SASARAN,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79317,KELUARGA RUMAH TANGGA SASARAN,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,37967,KELUARGA RUMAH TANGGA SASARAN,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,77792,KELUARGA RUMAH TANGGA SASARAN,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,55509,KELUARGA RUMAH TANGGA SASARAN,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,67691,KELUARGA RUMAH TANGGA SASARAN,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,102987,KELUARGA RUMAH TANGGA SASARAN,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,95831,KELUARGA RUMAH TANGGA SASARAN,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,36723,KELUARGA RUMAH TANGGA SASARAN,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,128534,KELUARGA RUMAH TANGGA SASARAN,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,88235,KELUARGA RUMAH TANGGA SASARAN,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,78608,KELUARGA RUMAH TANGGA SASARAN,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20658,KELUARGA RUMAH TANGGA SASARAN,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,24065,KELUARGA RUMAH TANGGA SASARAN,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,9198,KELUARGA RUMAH TANGGA SASARAN,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,21064,KELUARGA RUMAH TANGGA SASARAN,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,4823,KELUARGA RUMAH TANGGA SASARAN,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,39267,KELUARGA RUMAH TANGGA SASARAN,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,34940,KELUARGA RUMAH TANGGA SASARAN,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,6443,KELUARGA RUMAH TANGGA SASARAN,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22357,KELUARGA RUMAH TANGGA SASARAN,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,6313,KELUARGA RUMAH TANGGA SASARAN,2019
